,Unnamed: 0,category,place_name,place_address,lat,lon,place_id
55,57,daycare,새생명장애인,영등포구 가마산로 440 (신길3동 349-2),37.5049403,126.90953490000001,40057
56,58,wellfare,한국시각장애인복지관,강동구 구천면로 645 (상일동 126-0),37.551046500000005,127.16934690000001,40058
57,59,daycare,파랑새교육원,강서구 까치산로 134 (화곡6동 958-12) 화곡빌딩2층,37.54927429999999,126.8514328,40059
58,60,wellfare,서울특별시중구장애인복지관,중구 퇴계로 460 (신당동),37.5650845,127.022802,40060
59,61,daycare,참사랑,서울특별시 송파구 마천로 89 .,37.506907299999995,127.13046920000001,40061
60,62,daycare,피어라희망센터,서울특별시 도봉구 도봉로120길 16 창동염광교회 피어라희망센터,37.650389000000004,127.0374472,40062
61,63,daycare,참사랑너나울,서울특별시 강북구 한천로143길 39 1층,37.640482299999995,127.0231588,40063
62,64,daycare,하누리,서울특별시 금천구 시흥대로2길 57 .,37.4352855,126.90643270000001,40064
63,65,daycare,하은,서울특별시 양천구 신목로 20 3층,37.5181901,126.87509820000001,40065
64,66,wellfare,성분도복지관,경기 광주시 도척면 국사봉로 159-10,37.3167174,127.3506713,40066
66,68,wellfare,시립서울장애인종합복지관,강동구 고덕로 201 (고덕동 317-24),37.555856299999995,127.14828020000002,40068
67,69,wellfare,청음회관,강남구 봉은사로50길 6 (역삼동 681-50),37.509373,127.04238529999999,40069
68,70,hospital/rehab,성동재활의원,성동구 성수1가1동 656-323,37.5454304,127.04698490000001,40070
70,72,daycare,해찬나래(상계),노원구 덕릉로115나길 25 (상계동 101-135) 상계종합사회복지관 내,37.66796,127.0783213,40072
71,73,daycare,희망하우스,서울특별시 광진구 능동로34길 102-5 2층,37.5534274,127.0845626,40073
72,74,daycare,행복한사랑,서울특별시 송파구 오금로 548 1층,37.492663,127.1497186,40074
73,75,daycare,기원,서울특별시 은평구 통일로87길 6-19 .,37.623894,126.91884509999998,40075
74,76,hospital/rehab,주몽재활의원,강동구 상암로 369 (상일동 179),37.546099600000005,127.163854,40076
75,77,hospital/rehab,SRC부설의원,관악구 보라매로 44 (봉천동 722-19),37.49316470000001,126.9273467,40077
76,78,wellfare,늘푸른나무복지관,강서구 가양동 1470-2 (허준로5길 37),37.568587799999996,126.85114180000001,40078
77,79,daycare,희망의 학교,광진구 천호대로 622 (능동 247-5)  서울시민교회 5층,37.5540874,127.0864492,40079
79,81,wellfare,정립회관,광진구 워커힐로 93 (구의동 16-3),37.5510878,127.0976313,40081
80,82,daycare,예은,서울특별시 구로구 부일로15길 25-5 4층,37.493930999999996,126.8331598,40082
81,83,daycare,바오로 주간보호,서울특별시 은평구 증산로5길 7 .,37.5826256,126.9071351,40083
82,84,daycare,실로암,서울특별시 관악구 조원로 127-2 301호,37.4855431,126.91647150000001,40084
83,85,daycare,꿈터2,서울특별시 관악구 쑥고개로13길 22 .,37.480544,126.9440956,40085
84,86,daycare,비둘기 주간보호,서울특별시 종로구 동숭4길 28 2층,37.5836606,127.00505079999999,40086
85,87,daycare,여성시각장애인 주간보호,서울특별시 중구 퇴계로30길 15-3 4층,37.560396600000004,126.9922777,40087
86,88,daycare,남산골쉼터 주간보호,서울특별시 중구 퇴계로20길 41-11 남산쉼터 2층,37.5587824,126.9867645,40088
87,89,daycare,주바라기해피홈 주간보호,서울특별시 도봉구 도봉로169가길 45 ,37.681942,127.0432301,40089
88,90,daycare,꿈친,서울특별시 은평구 통일로 934 1층,37.6262994,126.9204209,40090
