,facility_available_name,facility_is_available,place_name,place_id,facility_id
227,주출입구 높이차이 제거_새마을식당,이용가능,새마을식당,4950,4950-2
228,주출입구 접근로_새마을식당(덕당빌딩),이용가능,새마을식당(덕당빌딩),4951,4951-0
229,주출입구 접근로_서귀포뚝배기,이용가능,서귀포뚝배기,4952,4952-0
230,장애인 전용 주차구역_서귀포뚝배기,이용가능,서귀포뚝배기,4952,4952-1
231,주출입구 접근로_서울인삼토계촌(일반음식점),이용가능,서울인삼토계촌(일반음식점),4953,4953-0
232,장애인 전용 주차구역_서울인삼토계촌(일반음식점),이용가능,서울인삼토계촌(일반음식점),4953,4953-1
233,주출입구 높이차이 제거_서울인삼토계촌(일반음식점),이용가능,서울인삼토계촌(일반음식점),4953,4953-2
234,주출입구 접근로_서울집,이용가능,서울집,4954,4954-0
235,장애인 전용 주차구역_서울집,이용가능,서울집,4954,4954-1
236,주출입구 접근로_서초동이남장,이용가능,서초동이남장,4955,4955-0
237,장애인 전용 주차구역_서초동이남장,이용가능,서초동이남장,4955,4955-1
238,주출입구 접근로_세종대왕숯불갈비,이용가능,세종대왕숯불갈비,4956,4956-0
239,장애인 전용 주차구역_세종대왕숯불갈비,이용가능,세종대왕숯불갈비,4956,4956-1
240,주출입구 접근로_소담설농탕,이용불편,소담설농탕,4957,4957-0
241,주출입구 접근로_손문 대구막창 갈매기살,이용가능,손문 대구막창 갈매기살,4958,4958-0
242,장애인 전용 주차구역_손문 대구막창 갈매기살,이용가능,손문 대구막창 갈매기살,4958,4958-1
243,주출입구 높이차이 제거_손문 대구막창 갈매기살,이용가능,손문 대구막창 갈매기살,4958,4958-2
244,주출입구 접근로_손수헌(한식레스토랑),이용가능,손수헌(한식레스토랑),4959,4959-0
245,장애인 전용 주차구역_손수헌(한식레스토랑),이용가능,손수헌(한식레스토랑),4959,4959-1
246,주출입구 높이차이 제거_손수헌(한식레스토랑),이용가능,손수헌(한식레스토랑),4959,4959-2
247,주출입구 접근로_송가네(일반음식점),이용가능,송가네(일반음식점),4960,4960-0
248,장애인 전용 주차구역_송가네(일반음식점),이용가능,송가네(일반음식점),4960,4960-1
249,주출입구 높이차이 제거_송가네(일반음식점),이용가능,송가네(일반음식점),4960,4960-2
250,주출입구 접근로_송림가든,이용불편,송림가든,4961,4961-0
251,장애인 전용 주차구역_송림가든,이용불편,송림가든,4961,4961-1
252,주출입구 높이차이 제거_송림가든,이용불편,송림가든,4961,4961-2
253,주출입구 접근로_수라간,이용가능,수라간,4962,4962-0
254,주출입구 높이차이 제거_수라간,이용불편,수라간,4962,4962-1
255,주출입구 접근로_수원갈비,이용불편,수원갈비,4963,4963-0
256,주출입구 높이차이 제거_수원갈비,이용불편,수원갈비,4963,4963-1
257,주출입구 접근로_수원왕갈비,이용불편,수원왕갈비,4964,4964-0
258,장애인 전용 주차구역_수원왕갈비,이용가능,수원왕갈비,4964,4964-1
259,주출입구 높이차이 제거_수원왕갈비,이용가능,수원왕갈비,4964,4964-2
260,주출입구 접근로_수정궁(갈비탕 전문점),이용가능,수정궁(갈비탕 전문점),4965,4965-0
261,장애인 전용 주차구역_수정궁(갈비탕 전문점),이용가능,수정궁(갈비탕 전문점),4965,4965-1
262,주출입구 높이차이 제거_수정궁(갈비탕 전문점),이용가능,수정궁(갈비탕 전문점),4965,4965-2
263,주출입구 접근로_순흥골돼지갈비전문점,이용불편,순흥골돼지갈비전문점,4966,4966-0
264,장애인 전용 주차구역_순흥골돼지갈비전문점,이용가능,순흥골돼지갈비전문점,4966,4966-1
265,주출입구 접근로_쉐프케이엔알(송은아트 스페이스),이용가능,쉐프케이엔알(송은아트 스페이스),4967,4967-0
266,장애인 전용 주차구역_쉐프케이엔알(송은아트 스페이스),이용가능,쉐프케이엔알(송은아트 스페이스),4967,4967-1
267,주출입구 높이차이 제거_쉐프케이엔알(송은아트 스페이스),이용가능,쉐프케이엔알(송은아트 스페이스),4967,4967-2
268,주출입구 접근로_시화담,이용가능,시화담,4968,4968-0
269,장애인 전용 주차구역_시화담,이용가능,시화담,4968,4968-1
270,"주출입구 접근로_신라비빔밥,샤브칼국수",이용가능,"신라비빔밥,샤브칼국수",4969,4969-0
271,"장애인 전용 주차구역_신라비빔밥,샤브칼국수",이용가능,"신라비빔밥,샤브칼국수",4969,4969-1
272,주출입구 접근로_신사면옥,이용가능,신사면옥,4970,4970-0
273,장애인 전용 주차구역_신사면옥,이용가능,신사면옥,4970,4970-1
274,주출입구 높이차이 제거_신사면옥,이용가능,신사면옥,4970,4970-2
275,주출입구 접근로_신의주 찰쌀 순대(호텔 칸),이용가능,신의주 찰쌀 순대(호텔 칸),4971,4971-0
276,장애인 전용 주차구역_신의주 찰쌀 순대(호텔 칸),이용가능,신의주 찰쌀 순대(호텔 칸),4971,4971-1
277,주출입구 높이차이 제거_신의주 찰쌀 순대(호텔 칸),이용가능,신의주 찰쌀 순대(호텔 칸),4971,4971-2
278,주출입구 접근로_신토오리,이용가능,신토오리,4972,4972-0
279,장애인 전용 주차구역_신토오리,이용가능,신토오리,4972,4972-1
280,주출입구 접근로_아미소,이용가능,아미소,4973,4973-0
281,주출입구 높이차이 제거_아미소,이용불편,아미소,4973,4973-1
282,주출입구 접근로_안동찜닭,이용가능,안동찜닭,4974,4974-0
283,주출입구 접근로_안창골오리농원신내점,이용가능,안창골오리농원신내점,4975,4975-0
284,장애인 전용 주차구역_안창골오리농원신내점,이용가능,안창골오리농원신내점,4975,4975-1
285,주출입구 높이차이 제거_안창골오리농원신내점,이용가능,안창골오리농원신내점,4975,4975-2
286,장애인 전용 주차구역_양대박,이용가능,양대박,4976,4976-0
287,주출입구 접근로_양주골오리마을,이용가능,양주골오리마을,4977,4977-0
288,장애인 전용 주차구역_양주골오리마을,이용가능,양주골오리마을,4977,4977-1
289,주출입구 높이차이 제거_양주골오리마을,이용가능,양주골오리마을,4977,4977-2
290,주출입구 접근로_양지촌,이용가능,양지촌,4978,4978-0
291,장애인 전용 주차구역_양지촌,이용가능,양지촌,4978,4978-1
292,주출입구 높이차이 제거_양지촌,이용가능,양지촌,4978,4978-2
293,주출입구 접근로_양촌리,이용불편,양촌리,4979,4979-0
294,장애인 전용 주차구역_양촌리,이용가능,양촌리,4979,4979-1
295,주출입구 높이차이 제거_양촌리,이용불편,양촌리,4979,4979-2
296,주출입구 접근로_양촌리,이용가능,양촌리,4980,4980-0
297,장애인 전용 주차구역_양촌리,이용가능,양촌리,4980,4980-1
298,주출입구 높이차이 제거_양촌리,이용가능,양촌리,4980,4980-2
299,주출입구 접근로_양촌리 화로 숯불구이,이용가능,양촌리 화로 숯불구이,4981,4981-0
300,장애인 전용 주차구역_양촌리 화로 숯불구이,이용가능,양촌리 화로 숯불구이,4981,4981-1
301,주출입구 높이차이 제거_양촌리 화로 숯불구이,이용가능,양촌리 화로 숯불구이,4981,4981-2
302,주출입구 접근로_역삼버드나무 집,이용가능,역삼버드나무 집,4982,4982-0
303,장애인 전용 주차구역_역삼버드나무 집,이용가능,역삼버드나무 집,4982,4982-1
304,주출입구 높이차이 제거_역삼버드나무 집,이용가능,역삼버드나무 집,4982,4982-2
305,주출입구 접근로_연신내부대찌개,이용가능,연신내부대찌개,4983,4983-0
306,장애인 전용 주차구역_연신내부대찌개,이용가능,연신내부대찌개,4983,4983-1
307,주출입구 접근로_연안본가,이용가능,연안본가,4984,4984-0
308,장애인 전용 주차구역_연안본가,이용가능,연안본가,4984,4984-1
309,주출입구 접근로_연일선지해장국,이용불편,연일선지해장국,4985,4985-0
310,주출입구 높이차이 제거_연일선지해장국,이용가능,연일선지해장국,4985,4985-1
311,주출입구 접근로_영천 영화 고기집(상민빌딩),이용가능,영천 영화 고기집(상민빌딩),4986,4986-0
312,장애인 전용 주차구역_영천 영화 고기집(상민빌딩),이용불편,영천 영화 고기집(상민빌딩),4986,4986-1
313,주출입구 높이차이 제거_영천 영화 고기집(상민빌딩),이용가능,영천 영화 고기집(상민빌딩),4986,4986-2
314,주출입구 접근로_예소원,이용가능,예소원,4987,4987-0
315,장애인 전용 주차구역_예소원,이용가능,예소원,4987,4987-1
316,주출입구 접근로_예향,이용가능,예향,4988,4988-0
317,주출입구 접근로_옛골토성,이용불편,옛골토성,4989,4989-0
318,장애인 전용 주차구역_옛골토성,이용가능,옛골토성,4989,4989-1
319,주출입구 높이차이 제거_옛골토성,이용가능,옛골토성,4989,4989-2
320,주출입구 접근로_옛골토성,이용불편,옛골토성,4990,4990-0
321,장애인 전용 주차구역_옛골토성,이용가능,옛골토성,4990,4990-1
322,주출입구 높이차이 제거_옛골토성,이용불편,옛골토성,4990,4990-2
323,주출입구 접근로_옛골토성,이용불편,옛골토성,4991,4991-0
324,장애인 전용 주차구역_옛골토성,이용가능,옛골토성,4991,4991-1
325,주출입구 높이차이 제거_옛골토성,이용불편,옛골토성,4991,4991-2
326,주출입구 접근로_옛골토성상봉점,이용불편,옛골토성상봉점,4992,4992-0
327,장애인 전용 주차구역_옛골토성상봉점,이용가능,옛골토성상봉점,4992,4992-1
328,주출입구 높이차이 제거_옛골토성상봉점,이용가능,옛골토성상봉점,4992,4992-2
329,주출입구 접근로_오리킹,이용불편,오리킹,4993,4993-0
330,장애인 전용 주차구역_오리킹,이용가능,오리킹,4993,4993-1
331,주출입구 높이차이 제거_오리킹,이용가능,오리킹,4993,4993-2
332,주출입구 접근로_오발탄,이용가능,오발탄,4994,4994-0
333,장애인 전용 주차구역_오발탄,이용가능,오발탄,4994,4994-1
334,주출입구 높이차이 제거_오발탄,이용불편,오발탄,4994,4994-2
335,주출입구 접근로_오발탄,이용가능,오발탄,4995,4995-0
336,주출입구 높이차이 제거_오발탄,이용가능,오발탄,4995,4995-1
337,주출입구 접근로_오발탄,이용가능,오발탄,4996,4996-0
338,주출입구 높이차이 제거_오발탄,이용가능,오발탄,4996,4996-1
339,주출입구 접근로_오삼 부대찌개(상류사회빌딩),이용가능,오삼 부대찌개(상류사회빌딩),4997,4997-0
340,장애인 전용 주차구역_오삼 부대찌개(상류사회빌딩),이용가능,오삼 부대찌개(상류사회빌딩),4997,4997-1
341,주출입구 높이차이 제거_오삼 부대찌개(상류사회빌딩),이용가능,오삼 부대찌개(상류사회빌딩),4997,4997-2
342,주출입구 접근로_옥토빌딩<일반음식점>-다미식당,이용가능,옥토빌딩<일반음식점>-다미식당,4998,4998-0
343,장애인 전용 주차구역_옥토빌딩<일반음식점>-다미식당,이용가능,옥토빌딩<일반음식점>-다미식당,4998,4998-1
344,주출입구 높이차이 제거_옥토빌딩<일반음식점>-다미식당,이용가능,옥토빌딩<일반음식점>-다미식당,4998,4998-2
345,주출입구 높이차이 제거_온누림,이용불편,온누림,4999,4999-0
346,주출입구 접근로_왕돌구이집,이용가능,왕돌구이집,5000,5000-0
347,장애인 전용 주차구역_왕돌구이집,이용가능,왕돌구이집,5000,5000-1
348,주출입구 높이차이 제거_왕돌구이집,이용가능,왕돌구이집,5000,5000-2
349,주출입구 접근로_왕초한우건물,이용가능,왕초한우건물,5001,5001-0
350,장애인 전용 주차구역_왕초한우건물,이용가능,왕초한우건물,5001,5001-1
