,facility_available_name,facility_is_available,place_name,place_id,facility_id
298,장애인용 화장실_메가박스 수유,이용불편,메가박스 수유,98,98-3
299,주출입구 접근로_메가박스 신촌,이용불편,메가박스 신촌,99,99-0
300,장애인 전용 주차구역_메가박스 신촌,이용불편,메가박스 신촌,99,99-1
301,주출입구 높이차이 제거_메가박스 신촌,이용가능,메가박스 신촌,99,99-2
302,장애인용 승강기_메가박스 신촌,이용가능,메가박스 신촌,99,99-3
303,장애인용 화장실_메가박스 신촌,이용불편,메가박스 신촌,99,99-4
304,주출입구 접근로_메가박스 아트나인,이용가능,메가박스 아트나인,100,100-0
305,장애인 전용 주차구역_메가박스 아트나인,이용가능,메가박스 아트나인,100,100-1
306,주출입구 높이차이 제거_메가박스 아트나인,이용가능,메가박스 아트나인,100,100-2
307,장애인용 승강기_메가박스 아트나인,이용가능,메가박스 아트나인,100,100-3
308,장애인용 화장실_메가박스 아트나인,이용가능,메가박스 아트나인,100,100-4
309,주출입구 접근로_메가박스 코엑스,이용가능,메가박스 코엑스,101,101-0
