,facility_available_name,facility_is_available,place_name,place_id,facility_id
77,주출입구 접근로_GS타워 소극장,이용가능,GS타워 소극장,21,21-0
78,장애인 전용 주차구역_GS타워 소극장,이용가능,GS타워 소극장,21,21-1
79,주출입구 높이차이 제거_GS타워 소극장,이용가능,GS타워 소극장,21,21-2
80,장애인용 화장실_GS타워 소극장,이용가능,GS타워 소극장,21,21-3
81,주출입구 접근로_JW 메리어트호텔 그랜드볼룸,이용가능,JW 메리어트호텔 그랜드볼룸,22,22-0
82,장애인 전용 주차구역_JW 메리어트호텔 그랜드볼룸,이용가능,JW 메리어트호텔 그랜드볼룸,22,22-1
83,주출입구 높이차이 제거_JW 메리어트호텔 그랜드볼룸,이용가능,JW 메리어트호텔 그랜드볼룸,22,22-2
84,장애인용 승강기_JW 메리어트호텔 그랜드볼룸,이용불편,JW 메리어트호텔 그랜드볼룸,22,22-3
85,주출입구 접근로_LG아트센터,이용가능,LG아트센터,23,23-0
86,장애인 전용 주차구역_LG아트센터,이용가능,LG아트센터,23,23-1
87,장애인용 승강기_LG아트센터,이용가능,LG아트센터,23,23-2
88,장애인용 관람석_LG아트센터,이용가능,LG아트센터,23,23-3
89,주출입구 접근로_LIG아트홀,이용가능,LIG아트홀,24,24-0
90,장애인 전용 주차구역_LIG아트홀,이용가능,LIG아트홀,24,24-1
91,주출입구 높이차이 제거_LIG아트홀,이용가능,LIG아트홀,24,24-2
92,장애인용 승강기_LIG아트홀,이용가능,LIG아트홀,24,24-3
93,장애인용 화장실_LIG아트홀,이용가능,LIG아트홀,24,24-4
94,주출입구 접근로_건국대학교 국제회의장,이용가능,건국대학교 국제회의장,30,30-0
95,장애인 전용 주차구역_건국대학교 국제회의장,이용불편,건국대학교 국제회의장,30,30-1
96,장애인용 관람석_건국대학교 국제회의장,이용가능,건국대학교 국제회의장,30,30-2
97,주출입구 접근로_건국대학교 새천년관 대공연장,이용가능,건국대학교 새천년관 대공연장,31,31-0
98,장애인 전용 주차구역_건국대학교 새천년관 대공연장,이용불편,건국대학교 새천년관 대공연장,31,31-1
99,장애인용 관람석_건국대학교 새천년관 대공연장,이용가능,건국대학교 새천년관 대공연장,31,31-2
100,주출입구 접근로_고려대학교 화정체육관,이용가능,고려대학교 화정체육관,34,34-0
101,장애인 전용 주차구역_고려대학교 화정체육관,이용가능,고려대학교 화정체육관,34,34-1
102,주출입구 높이차이 제거_고려대학교 화정체육관,이용가능,고려대학교 화정체육관,34,34-2
103,장애인용 승강기_고려대학교 화정체육관,이용불편,고려대학교 화정체육관,34,34-3
104,장애인용 관람석_고려대학교 화정체육관,이용불편,고려대학교 화정체육관,34,34-4
105,주출입구 접근로_광화문 아트홀,이용가능,광화문 아트홀,35,35-0
106,장애인 전용 주차구역_광화문 아트홀,이용가능,광화문 아트홀,35,35-1
107,주출입구 높이차이 제거_광화문 아트홀,이용가능,광화문 아트홀,35,35-2
108,장애인용 승강기_광화문 아트홀,이용가능,광화문 아트홀,35,35-3
109,장애인용 화장실_광화문 아트홀,이용불편,광화문 아트홀,35,35-4
110,장애인용 관람석_광화문 아트홀,이용가능,광화문 아트홀,35,35-5
111,주출입구 접근로_국립국악원,이용가능,국립국악원,36,36-0
112,주출입구 높이차이 제거_국립국악원,이용가능,국립국악원,36,36-1
113,장애인용 승강기_국립국악원,이용가능,국립국악원,36,36-2
114,장애인용 화장실_국립국악원,이용가능,국립국악원,36,36-3
115,장애인용 관람석_국립국악원,이용가능,국립국악원,36,36-4
116,주출입구 접근로_국립극장,이용가능,국립극장,37,37-0
117,장애인 전용 주차구역_국립극장,이용가능,국립극장,37,37-1
118,주출입구 높이차이 제거_국립극장,이용가능,국립극장,37,37-2
119,장애인용 승강기_국립극장,이용가능,국립극장,37,37-3
120,주출입구 접근로_국립중앙박물관 극장 용,이용가능,국립중앙박물관 극장 용,38,38-0
121,장애인 전용 주차구역_국립중앙박물관 극장 용,이용가능,국립중앙박물관 극장 용,38,38-1
122,주출입구 높이차이 제거_국립중앙박물관 극장 용,이용불편,국립중앙박물관 극장 용,38,38-2
123,장애인용 승강기_국립중앙박물관 극장 용,이용가능,국립중앙박물관 극장 용,38,38-3
124,장애인용 화장실_국립중앙박물관 극장 용,이용가능,국립중앙박물관 극장 용,38,38-4
125,장애인용 관람석_국립중앙박물관 극장 용,이용불편,국립중앙박물관 극장 용,38,38-5
126,주출입구 접근로_그랜드 앰배서더 서울 그랜드 볼룸,이용가능,그랜드 앰배서더 서울 그랜드 볼룸,39,39-0
