,facility_available_name,facility_is_available,place_name
677,주출입구 높이차이 제거_(주)에도긴,이용가능,(주)에도긴
678,주출입구 접근로_강서수산,이용가능,강서수산
679,장애인 전용 주차구역_강서수산,이용불편,강서수산
680,주출입구 접근로_경복궁삿뽀로,이용불편,경복궁삿뽀로
681,장애인 전용 주차구역_경복궁삿뽀로,이용불편,경복궁삿뽀로
682,주출입구 높이차이 제거_경복궁삿뽀로,이용가능,경복궁삿뽀로
683,주출입구 접근로_그물에걸린바다,이용불편,그물에걸린바다
684,장애인 전용 주차구역_그물에걸린바다,이용가능,그물에걸린바다
685,주출입구 높이차이 제거_그물에걸린바다,이용가능,그물에걸린바다
686,주출입구 접근로_금강수산,이용가능,금강수산
687,주출입구 접근로_마리온 크레페 Lozy,이용가능,마리온 크레페 Lozy
688,장애인 전용 주차구역_마리온 크레페 Lozy,이용가능,마리온 크레페 Lozy
689,주출입구 높이차이 제거_마리온 크레페 Lozy,이용가능,마리온 크레페 Lozy
690,주출입구 접근로_맑은바닷가의나루터,이용가능,맑은바닷가의나루터
691,장애인 전용 주차구역_맑은바닷가의나루터,이용가능,맑은바닷가의나루터
692,주출입구 접근로_미송샤브샤브,이용불편,미송샤브샤브
693,장애인 전용 주차구역_미송샤브샤브,이용불편,미송샤브샤브
694,주출입구 높이차이 제거_미송샤브샤브,이용가능,미송샤브샤브
695,주출입구 접근로_바다회공원,이용불편,바다회공원
696,주출입구 접근로_바다회공원음식점(청림빌딩)(제시카키친),이용가능,바다회공원음식점(청림빌딩)(제시카키친)
697,장애인 전용 주차구역_바다회공원음식점(청림빌딩)(제시카키친),이용불편,바다회공원음식점(청림빌딩)(제시카키친)
698,주출입구 높이차이 제거_바다회공원음식점(청림빌딩)(제시카키친),이용가능,바다회공원음식점(청림빌딩)(제시카키친)
699,주출입구 접근로_별난횟집,이용가능,별난횟집
700,장애인 전용 주차구역_별난횟집,이용가능,별난횟집
701,주출입구 접근로_삼경바다,이용가능,삼경바다
702,장애인 전용 주차구역_삼경바다,이용가능,삼경바다
703,주출입구 높이차이 제거_삼경바다,이용가능,삼경바다
704,주출입구 접근로_샤르르 샤브샤브,이용가능,샤르르 샤브샤브
705,장애인 전용 주차구역_샤르르 샤브샤브,이용가능,샤르르 샤브샤브
706,주출입구 높이차이 제거_샤르르 샤브샤브,이용가능,샤르르 샤브샤브
707,주출입구 접근로_샤브궁샤브가,이용가능,샤브궁샤브가
708,주출입구 접근로_씨푸드 대림점,이용가능,씨푸드 대림점
