,category,lat,lon,place_address,place_id,place_name
51,movie/concerthall,37.5801275,127.00349920000001,서울특별시 종로구 동숭동 1-132,10055,대학로 씨어터 디아더
52,movie/concerthall,37.5800107,127.004254,서울특별시 종로구 동숭동 1-153,10056,대학로 아리랑 소극장
53,movie/concerthall,37.5831041,127.0020841,서울특별시 종로구 동숭동 1-35 아티스탄홀,10057,대학로 아티스탄홀
54,movie/concerthall,37.5807835,127.0041587,서울특별시 종로구 동숭동 1-145 대학빌딩 5층,10058,대학로 어뮤징 씨어터
56,movie/concerthall,37.5815943,127.0028104,서울특별시 종로구 동숭동 1-113번지 지하 1층,10060,대학로 웃찾사 전용관(구.Boom Box)
57,movie/concerthall,37.582072499999995,127.0031764,서울특별시 종로구 대학로10길 17,10061,대학로예술극장
58,movie/concerthall,37.559878499999996,126.9671041,서울특별시 중구 청파로 463,10062,대한극장
60,movie/concerthall,37.5837122,127.0037278,서울특별시 종로구 동숭길 122,10064,동숭아트센터
61,movie/concerthall,37.497800399999996,127.0441092,서울특별시 강남구 역삼동 772,10065,동영아트홀 (구 계몽아트홀)
62,movie/concerthall,37.5801365,127.0039895,서울특별시 종로구 동숭동 1-141,10066,디마떼오홀
63,movie/concerthall,37.55313510000001,126.92222050000001,서울특별시 마포구 어울마당로 94-8,10067,떼아뜨르 추
64,movie/concerthall,37.484263399999996,127.0421783,서울특별시 강남구 도곡동 514-1,10068,라트어린이극장
65,movie/concerthall,37.55441500000001,126.92196609999999,서울특별시 마포구 홍익로 25 서교호텔별관 지하,10069,레진코믹스 브이홀
66,movie/concerthall,37.5484994,126.9201265,서울특별시 마포구 어울마당로 35 신보빌딩B1,10070,롤링홀
67,movie/concerthall,37.571369399999995,126.80296000000001,서울특별시 강서구 하늘길  38,10071,롯데몰 김포공항점
68,movie/concerthall,37.655043400000004,127.06109709999998,서울특별시 노원구 동일로 1414,10072,롯데백화점 노원점
69,movie/concerthall,37.5366479,127.1253571,서울특별시 강동구 천호옛길 85,10073,롯데시네마 강동
70,movie/concerthall,37.536654999999996,127.125348,서울특별시 강동구 성내동 44-1,10074,롯데시네마 강동관
71,movie/concerthall,37.537510499999996,127.0725939,서울특별시 광진구 아차산로 262 (자양동),10075,롯데시네마 건대입구관
72,movie/concerthall,37.57917910000001,126.8903547,서울특별시 마포구 월드컵북로 396 누리꿈스퀘어빌딩 디지털파빌리온 4층,10076,롯데시네마 누리꿈(상암)
73,movie/concerthall,37.5112793,127.09804270000001,서울특별시 송파구 잠실동 40-1,10077,롯데시네마 롯데월드
74,movie/concerthall,37.5163809,127.021971,서울특별시 강남구 도산대로8길 8,10078,롯데시네마 브로드웨이
75,movie/concerthall,37.5003768,127.0269314,서울특별시 강남구 역삼동 816,10079,롯데시네마 씨티(강남)
76,movie/concerthall,37.571043700000004,126.9912115,서울특별시 종로구 돈의동 137,10082,롯데시네마 피카디리관
77,movie/concerthall,37.548932799999996,126.91367439999999,서울특별시 마포구 양화로 45,10083,롯데시네마 합정
78,movie/concerthall,37.5572394,126.9249811,서울특별시 마포구 양화로  176,10084,롯데시네마 홍대입구
80,movie/concerthall,37.571029100000004,127.0212194,서울특별시 중구 황학동 2545 롯데캐슬 베네치아 1층 1222~4호,10086,롯데시네마 황학
82,movie/concerthall,37.580126299999996,127.0042551,서울특별시 종로구 동숭동 1-150 지하1층,10088,루나틱전용관
