,place_name,place_id,facility_available_name,facility_id,facility_is_available
324,새절,151,화장실,900324,이용가능
325,새절,151,엘리베이터,900325,이용가능
326,새절,151,에스켈레이터,900326,이용가능
327,서대문,152,화장실,900327,이용가능
328,서대문,152,엘리베이터,900328,이용가능
329,서대문,152,에스켈레이터,900329,이용가능
330,서울대입구,153,화장실,900330,이용가능
331,서울대입구,153,엘리베이터,900331,이용가능
332,서울역,154,에스켈레이터,900332,이용가능
333,서울역,154,화장실,900333,이용가능
334,서울역,154,엘리베이터,900334,이용가능
335,서울역,154,휠체어리프트,900335,이용가능
336,서초,156,화장실,900336,이용가능
337,서초,156,엘리베이터,900337,이용가능
338,석계,157,엘리베이터,900338,이용가능
339,석계,157,화장실,900339,이용가능
340,석계,157,에스켈레이터,900340,이용가능
341,석계,157,휠체어리프트,900341,이용가능
342,석계,157,수평보행기,900342,이용가능
343,석촌,159,화장실,900343,이용가능
344,석촌,159,엘리베이터,900344,이용가능
345,선릉,160,화장실,900345,이용가능
346,선릉,160,엘리베이터,900346,이용가능
347,선릉,160,에스켈레이터,900347,이용가능
348,성내,163,화장실,900348,이용가능
349,성내,163,엘리베이터,900349,이용가능
350,성수,166,화장실,900350,이용가능
351,성수,166,엘리베이터,900351,이용가능
352,성수,166,에스켈레이터,900352,이용가능
353,성수,166,휠체어리프트,900353,이용가능
354,성신대입구,167,화장실,900354,이용가능
355,성신대입구,167,엘리베이터,900355,이용가능
356,송정,173,화장실,900356,이용가능
357,송정,173,엘리베이터,900357,이용가능
358,송정,173,에스켈레이터,900358,이용가능
359,송파,175,화장실,900359,이용가능
360,송파,175,엘리베이터,900360,이용가능
361,수락산,176,화장실,900361,이용가능
362,수락산,176,엘리베이터,900362,이용가능
363,수락산,176,에스켈레이터,900363,이용가능
364,수락산,176,휠체어리프트,900364,이용가능
365,수색,177,화장실,900365,이용가능
366,수색,177,에스켈레이터,900366,이용가능
367,수색,177,엘리베이터,900367,이용가능
368,수색,177,휠체어리프트,900368,이용가능
369,수서,178,화장실,900369,이용가능
370,수서,178,엘리베이터,900370,이용가능
371,수서,178,에스켈레이터,900371,이용가능
372,수서,178,휠체어리프트,900372,이용가능
373,수유,180,화장실,900373,이용가능
374,수유,180,엘리베이터,900374,이용가능
375,수진,181,화장실,900375,이용가능
376,수진,181,엘리베이터,900376,이용가능
377,수진,181,휠체어리프트,900377,이용가능
378,숙대입구,182,엘리베이터,900378,이용가능
379,숙대입구,182,화장실,900379,이용가능
380,숭실대입구,183,엘리베이터,900380,이용가능
381,숭실대입구,183,화장실,900381,이용가능
382,숭실대입구,183,에스켈레이터,900382,이용가능
383,시청,184,화장실,900383,이용가능
384,시청,184,엘리베이터,900384,이용가능
385,시청,184,에스켈레이터,900385,이용가능
386,시청,184,휠체어리프트,900386,이용가능
387,신금호,186,화장실,900387,이용가능
388,신금호,186,엘리베이터,900388,이용가능
389,신금호,186,에스켈레이터,900389,이용가능
390,신길,187,화장실,900390,이용가능
391,신길,187,엘리베이터,900391,이용가능
392,신길,187,에스켈레이터,900392,이용가능
393,신길,187,휠체어리프트,900393,이용가능
394,신당,190,화장실,900394,이용가능
395,신당,190,에스켈레이터,900395,이용가능
396,신당,190,엘리베이터,900396,이용가능
397,신당,190,휠체어리프트,900397,이용가능
398,신대방,191,화장실,900398,이용가능
399,신대방,191,엘리베이터,900399,이용가능
400,신대방삼거리,192,화장실,900400,이용가능
401,신대방삼거리,192,엘리베이터,900401,이용가능
402,신대방삼거리,192,에스켈레이터,900402,이용가능
403,신도림,193,화장실,900403,이용가능
404,신도림,193,에스켈레이터,900404,이용가능
405,신도림,193,휠체어리프트,900405,이용가능
406,신림,194,화장실,900406,이용가능
407,신림,194,엘리베이터,900407,이용가능
408,신사,195,화장실,900408,이용가능
409,신사,195,엘리베이터,900409,이용가능
410,신설동,196,엘리베이터,900410,이용가능
411,신설동,196,에스켈레이터,900411,이용가능
412,신설동,196,화장실,900412,이용가능
413,신설동,196,휠체어리프트,900413,이용가능
414,신용산,197,화장실,900414,이용가능
415,신용산,197,엘리베이터,900415,이용가능
416,신정,199,화장실,900416,이용가능
417,신정,199,에스켈레이터,900417,이용가능
418,신정,199,엘리베이터,900418,이용가능
419,신정네거리,200,화장실,900419,이용가능
420,신정네거리,200,엘리베이터,900420,이용가능
421,신천,201,화장실,900421,이용가능
422,신천,201,엘리베이터,900422,이용가능
423,신촌,202,화장실,900423,이용가능
424,신촌,202,엘리베이터,900424,이용가능
425,신풍,203,화장실,900425,이용가능
426,신풍,203,엘리베이터,900426,이용가능
427,신풍,203,에스켈레이터,900427,이용가능
428,신흥,204,화장실,900428,이용가능
429,신흥,204,엘리베이터,900429,이용가능
430,쌍문,205,엘리베이터,900430,이용가능
431,쌍문,205,화장실,900431,이용가능
432,아차산,206,화장실,900432,이용가능
433,아차산,206,엘리베이터,900433,이용가능
434,아차산,206,에스켈레이터,900434,이용가능
