,place_name,place_address,lat,lon,category,place_id
2942,새말빗물펌프장 화장실,서울특별시 성동구 송정동 93-22,37.5531319,127.02834909999999,toilet/open,10389
2943,궁터장 화장실,서울특별시 성동구 행당동 81-4,37.54610038,127.0105808,toilet/open,10390
2946,살곶이 진입 화장실,서울특별시 성동구 사근동 102-28,37.54953971,127.0349686,toilet/open,10391
4291,숯내공원 화장실 화장실,서울특별시 송파구 문정동 150-8,37.497156,127.14693700000001,toilet/open,10392
4292,올림픽공원-몽촌삼거리(옥외화장실) 화장실,서울특별시 송파구 오륜동 88-2,37.507927,127.118076,toilet/open,10393
4293,올림픽공원-공급실 앞(옥외화장실) 화장실,서울특별시 송파구 오륜동 88-2,37.514634,127.10741100000001,toilet/open,10394
4294,올림픽공원-공급실 뒤(옥외화장실) 화장실,서울특별시 송파구 오륜동 88-2,37.493312,127.12503600000001,toilet/open,10395
4295,올림픽공원-구립SOMA미술관 화장실,서울특별시 송파구 오륜동 88-2,37.502416,127.12611499999998,toilet/open,10396
4296,올림픽공원-만남의광장(A2동) 화장실,서울특별시 송파구 오륜동 88,37.515394,127.10744199999999,toilet/open,10397
4297,올림픽공원-프라자A동 화장실,서울특별시 송파구 오륜동 88,37.493833,127.12048200000001,toilet/open,10398
4298,올림픽공원-프라자C동 화장실,서울특별시 송파구 오륜동 88,37.514516,127.108802,toilet/open,10399
4299,올림픽공원-프라자C동 화장실,서울특별시 송파구 오륜동 88,37.48982,127.123779,toilet/open,10400
4300,송파도서관(오금동 51) 화장실,서울특별시 송파구 오금동 51,37.51077,127.116514,toilet/open,10401
4301,청소년 수련관 화장실,서울특별시 송파구 문정2동 150-8,37.507065000000004,127.07988600000002,toilet/open,10402
4302,청소년 수련관 화장실,서울특별시 송파구 마천1동 325-5,37.507079,127.117654,toilet/open,10403
4303,서울영어마을풍납캠프 화장실,서울특별시 송파구 풍납2동 281-1,37.509334,127.085974,toilet/open,10404
4304,송파우체국 화장실,서울특별시 송파구 오금동 50-3,37.538261999999996,127.12283799999999,toilet/open,10405
4305,송파나루(더다이닝) 화장실 화장실,서울특별시 송파구 잠실동 47,37.512456,127.10506399999998,toilet/open,10406
4306,대한소방공제회빌딩 화장실,서울특별시 송파구 가락본동 98-3,37.511477,127.08148,toilet/open,10407
4307,한국조세연구원빌딩 화장실,서울특별시 송파구 가락본동 79-6,37.512144,127.08300700000001,toilet/open,10408
4308,국민연금본부회관 화장실,서울특별시 송파구 신천동 7-16,37.506762,127.105286,toilet/open,10409
