,facility_detail_info,facility_available_name
110,평탄함,주출입구 접근로_개성면옥(함흥냉면)
111,단차없음,주출입구 접근로_개성면옥(함흥냉면)
112,유효폭 1.2m 이상,주출입구 접근로_개성면옥(함흥냉면)
113,기울기 1/18~1/12이하,주출입구 접근로_개성면옥(함흥냉면)
114,보/차도 구분없음,주출입구 접근로_개성면옥(함흥냉면)
115,총주차대수16,장애인 전용 주차구역_개성면옥(함흥냉면)
116,전용주차대수  2,장애인 전용 주차구역_개성면옥(함흥냉면)
117,출입구와 가까운 곳에 설치,장애인 전용 주차구역_개성면옥(함흥냉면)
118,크기 미 확보,장애인 전용 주차구역_개성면옥(함흥냉면)
119,안내표지판 설치,장애인 전용 주차구역_개성면옥(함흥냉면)
120,평탄함,주출입구 접근로_거북이집
121,단차없음,주출입구 접근로_거북이집
122,유효폭 1.2m 이상,주출입구 접근로_거북이집
123,기울기 1/18이하,주출입구 접근로_거북이집
124,보/차도 구분,주출입구 접근로_거북이집
125,상세정보 없음,장애인 전용 주차구역_거북이집
126,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_거북이집
127,유효폭 1.2m 이상,주출입구 높이차이 제거_거북이집
128,평탄함,주출입구 접근로_경복궁
129,단차없음,주출입구 접근로_경복궁
130,유효폭 1.2m 이상,주출입구 접근로_경복궁
131,기울기 1/18이하,주출입구 접근로_경복궁
132,보/차도 구분,주출입구 접근로_경복궁
133,총주차대수14,장애인 전용 주차구역_경복궁
134,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_경복궁
135,유효폭 1.2m 이상,주출입구 높이차이 제거_경복궁
136,손잡이 설치,주출입구 높이차이 제거_경복궁
137,평탄함,주출입구 접근로_경복궁(불고기브라더스)
138,단차없음,주출입구 접근로_경복궁(불고기브라더스)
139,유효폭 1.2m 이상,주출입구 접근로_경복궁(불고기브라더스)
140,기울기 1/18~1/12이하,주출입구 접근로_경복궁(불고기브라더스)
141,보/차도 구분없음,주출입구 접근로_경복궁(불고기브라더스)
142,총주차대수11,장애인 전용 주차구역_경복궁(불고기브라더스)
143,전용주차대수  1,장애인 전용 주차구역_경복궁(불고기브라더스)
144,출입구와 가까운 곳에 설치,장애인 전용 주차구역_경복궁(불고기브라더스)
145,크기 확보(3.3*5m),장애인 전용 주차구역_경복궁(불고기브라더스)
146,안내표지판 설치,장애인 전용 주차구역_경복궁(불고기브라더스)
147,단차없음 또는 경사로 1/12이하 설치,주출입구 높이차이 제거_경복궁(불고기브라더스)
148,유효폭 1.2m 이상,주출입구 높이차이 제거_경복궁(불고기브라더스)
